cluster_id,Thương_hiệu,ratio
0,Honda,0.7567140600315956
0,Piaggio,0.04265402843601896
0,Yamaha,0.03949447077409163
0,Kawasaki,0.03317535545023697
0,Suzuki,0.03317535545023697
0,Harley Davidson,0.020537124802527645
0,Ducati,0.018957345971563982
0,Bmw,0.01579778830963665
0,Triumph,0.01263823064770932
0,Hãng Khác,0.011058451816745656
0,Aprilia,0.00315955766192733
0,Ktm,0.00315955766192733
0,Royal Enfield,0.00315955766192733
0,Bazan,0.001579778830963665
0,Benelli,0.001579778830963665
0,Hyosung,0.001579778830963665
0,Vento,0.001579778830963665
1,Honda,0.5821111714647836
1,Yamaha,0.23393083469129097
1,Piaggio,0.060293318848451925
1,Suzuki,0.044541010320478004
1,Sym,0.03766069165308709
1,Hãng Khác,0.022632627195364838
1,Kawasaki,0.00416440340394713
1,Gpx,0.0021727322107550242
1,Ktm,0.001991671193192106
1,Kymco,0.0014484881405033496
1,Benelli,0.0012674271229404308
1,Detech,0.0012674271229404308
1,Rebelusa,0.0010863661053775121
1,Brixton,0.0009053050878145935
1,Daelim,0.0009053050878145935
1,Peugeot,0.0007242440702516748
1,Ducati,0.0005431830526887561
1,Sachs,0.0003621220351258374
1,Vinfast,0.0003621220351258374
1,Bazan,0.0001810610175629187
1,Cr&S,0.0001810610175629187
1,Hyosung,0.0001810610175629187
1,Keeway,0.0001810610175629187
1,Kengo,0.0001810610175629187
1,Royal Enfield,0.0001810610175629187
1,Sanda,0.0001810610175629187
1,Victory,0.0001810610175629187
1,Visitor,0.0001810610175629187
2,Honda,0.6506639427987743
2,Hãng Khác,0.09908069458631256
2,Yamaha,0.08069458631256383
2,Sym,0.04800817160367722
2,Kymco,0.020429009193054137
2,Piaggio,0.017364657814096015
2,Kawasaki,0.01634320735444331
2,Suzuki,0.015321756894790603
2,Halim,0.010214504596527068
2,Detech,0.009193054136874362
2,Daelim,0.006128702757916241
2,Nioshima,0.005107252298263534
2,Hyosung,0.0040858018386108275
2,Bazan,0.0020429009193054137
2,Rebelusa,0.0020429009193054137
2,Sanda,0.0020429009193054137
2,Aprilia,0.0010214504596527069
2,Benelli,0.0010214504596527069
2,Cr&S,0.0010214504596527069
2,Ducati,0.0010214504596527069
2,Keeway,0.0010214504596527069
2,Moto Guzzi,0.0010214504596527069
2,Peugeot,0.0010214504596527069
2,Sachs,0.0010214504596527069
2,Taya,0.0010214504596527069
2,Victory,0.0010214504596527069
2,Vinfast,0.0010214504596527069
